,ret
2017-10-23,-2.670743995958347e-07
2017-10-24,5.341489417443057e-07
2017-10-25,8.012153556169466e-07
2017-10-26,6.943835419992439e-07
2017-10-27,3.204856628968855e-07
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,-2.670662140324964e-07
2017-10-31,-4.807360978187347e-07
2017-11-01,2.136577085032343e-06
2017-11-02,4.8072767278029e-07
2017-11-03,-3.7389657814301813e-07
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,1.495602130141549e-06
2017-11-07,-1.0683074358475153e-07
2017-11-08,1.2819385430962171e-06
2017-11-09,1.2285254054056338e-06
2017-11-10,6.035788993719038e-06
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,5.715270666284411e-06
2017-11-14,-2.403600489309099e-06
2017-11-15,9.614425067194787e-07
2017-11-16,7.477904402364288e-07
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,2.029711032136561e-06
2017-11-21,1.0682680007256806e-06
2017-11-22,-2.189944391717269e-06
2017-11-23,0.0
2017-11-24,5.3410789790930835e-08
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,9.080291520913164e-07
2017-12-01,4.967442803094357e-06
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,3.7389162139689347e-06
2017-12-05,-2.136517742279409e-06
2017-12-06,-2.136522307072397e-06
2017-12-07,-4.807181646970804e-06
2017-12-08,1.1216869586494482e-06
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,1.5489865465845298e-06
2017-12-12,1.869463099657409e-06
2017-12-13,1.602391768162903e-07
2017-12-14,3.3116116646692006e-06
2017-12-15,-2.136520024675903e-06
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,4.273049178715738e-06
2017-12-19,-1.0682577299414575e-06
2017-12-20,-5.341256210655843e-07
2017-12-21,1.0148415108268694e-06
2017-12-22,-5.34125364382021e-07
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,-1.5489743016017243e-06
2017-12-26,1.5489767009047029e-06
2017-12-27,1.1216692044069276e-06
2017-12-28,9.147100332729252e-07
2017-12-29,1.8294260220041991e-06
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,1.5603811780451338e-06
2018-01-03,1.2913529237046362e-06
2018-01-04,4.842595819898321e-07
2018-01-05,-6.994857240094632e-07
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,-1.8832168549032247e-06
2018-01-09,-1.6141943647296486e-06
2018-01-10,2.152257541077063e-06
2018-01-11,-5.38059412802383e-07
2018-01-12,-5.3806733069095e-08
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,-7.532866752590905e-07
2018-01-16,-1.0761355306865283e-07
2018-01-17,-3.874065441555885e-06
2018-01-18,2.421299327703963e-06
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,3.228388743670152e-06
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,-2.47509233486376e-06
2018-01-26,2.582712100851481e-06
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,-2.8517312066211886e-06
2018-01-30,-1.07613668898221e-06
2018-01-31,-5.380612946304097e-07
2018-02-01,2.1415191686635637e-07
2018-02-02,0.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,0.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,2.096840390208854e-06
2018-03-14,1.6141886509668524e-06
2018-03-15,-1.5065726250984568e-06
2018-03-16,2.0446428066200895e-06
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,-1.0761259940927914e-06
2018-03-20,-1.6141945426983995e-06
2018-03-21,0.0
2018-03-22,0.0
2018-03-23,-1.0761288892213727e-06
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,8.07103257116637e-07
2018-03-27,2.421284930553824e-06
2018-03-28,-1.076126573185121e-06
2018-03-29,-2.152255462406494e-06
2018-03-30,-2.1522600945900194e-06
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,-1.7756157295600872e-06
2018-04-03,-3.228402822741394e-06
